asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
71,20160920,20181109,신호등장작구이&원주골돌솥추어탕,"서울특별시 관악구 봉천로 190, 2층 (신림동)",서울특별시 관악구 신림동  1445번지 14호  ,3200000-101-2016-00216,한식,,275,신림동,상수도전용,28754500
3,20190830,20191111,정성,"서울특별시 관악구 관악로 154-5, 2층 (봉천동)",서울특별시 관악구 봉천동  1598번지 2호  ,3200000-101-2016-00035,일식,초밥,66,낙성대동,상수도전용,28850090
100,20090313,20181109,들깨향 장수밀,"서울특별시 관악구 봉천로 355, 1층 (봉천동)",서울특별시 관악구 봉천동  943번지 4호  ,3200000-101-2003-00034,한식,,0,은천동,,28828443
81,20130701,20181109,짬뽕지존 봉천점,"서울특별시 관악구 남부순환로 1770, (봉천동, 지상1층)",서울특별시 관악구 봉천동  894번지 20호  ,3200000-101-2007-00052,한식,,152.4,청룡동,,28882235
114,20080710,20181109,양평해장국,"서울특별시 관악구 봉천로 229, (봉천동,(972번지 3호))",서울특별시 관악구 봉천동  972번지 4호  (972번지 3호),3200000-101-1995-02581,한식,,133.47,보라매동,상수도전용,28752366
8,20200831,20201111,병천가마솥순대국,"서울특별시 관악구 호암로22길 77, 지상1층 (신림동)",서울특별시 관악구 신림동  1538번지 13호  ,3200000-101-1996-06068,한식,순대국,80,대학동,상수도전용,
74,20150616,20181109,탐나종합어시장(난곡사거리점),"서울특별시 관악구 남부순환로 1481, 1층 (신림동)",서울특별시 관악구 신림동  527번지 9호  ,3200000-101-2014-00365,한식,,188,신사동,상수도전용,262070056
10,20231204,20231204,완산정,"서울특별시 관악구 봉천로 484, 2층 (봉천동)",서울특별시 관악구 봉천동  858번지 2호  지상2층,3200000-101-1979-00193,한식,,56.29,행운동,상수도전용,28783400
11,20230831,20231204,이태리파파,"서울특별시 관악구 관악로12길 3-8, (봉천동, 지상1층)",서울특별시 관악구 봉천동  1598번지 26호  ,3200000-101-2010-00051,경양식,,75.02,낙성대동,,
1,20190830,20191111,스시건,"서울특별시 관악구 호암로24길 35, 1층 (신림동)",서울특별시 관악구 신림동  1522번지 6호  ,3200000-101-2014-00049,일식,초밥,50.6,대학동,상수도전용,7088733541
