asgn_sno,appl_ymd,asgn_ymd,asgn_cancel_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,asgn_cancel_why,main_edf,trdp_area,admdng_nm,grade_facil_gbn
313,20050614,20050630,20111024,북경반점,"서울특별시 관악구 남부순환로 1620, (신림동)",서울특별시 관악구 신림동  75번지 43호  ,3200000-101-2002-00672,중국식,위생등급 평가결과 60점미만,자장면,185,서원동,상수도전용
64,20010630,20010701,20060405,로향,"서울특별시 관악구 낙성대로 12, 1층 (봉천동)",서울특별시 관악구 봉천동  1627번지 13호  ,3200000-101-1997-09385,한식,영업자지위승계,갈비,125.4,낙성대동,상수도전용
299,20050614,20050630,20070727,영진식당,"서울특별시 관악구 조원로2길 7, 1층 (신림동)",서울특별시 관악구 신림동  1656번지  ,3200000-101-2003-00462,기타,영업자승계,감자탕,224.79,조원동,
400,20070720,20070727,20080725,영진식당,"서울특별시 관악구 조원로2길 7, 1층 (신림동)",서울특별시 관악구 신림동  1656번지  ,3200000-101-2003-00462,기타,영업자 지위승계,냉면,224.79,조원동,
125,20010630,20010701,20060803,북새통,"서울특별시 관악구 관악로16길 13, 1층 (봉천동)",서울특별시 관악구 봉천동  853번지 2호  지상1층,3200000-101-2001-00387,한식,영업자지위승계,갈비탕,117.9,낙성대동,
179,20011230,20011231,20041229,정성으로 담아가는 밥고리,"서울특별시 관악구 조원중앙로 13, (신림동)",서울특별시 관악구 신림동  1659번지 22호  ,3200000-101-2000-11216,한식,영업자지위승계,돼지갈비,96.43,조원동,
339,20050614,20050630,20070727,복땡이,"서울특별시 관악구 봉천로 333, (봉천동)",서울특별시 관악구 봉천동  957번지 33호  ,3200000-101-1988-00084,한식,무단확장,돼지갈비,64.21,은천동,상수도전용
135,20010630,20010701,20031010,복땡이,"서울특별시 관악구 봉천로 333, (봉천동)",서울특별시 관악구 봉천동  957번지 33호  ,3200000-101-1988-00084,한식,영업자지위승계,숯불갈비,64.21,은천동,상수도전용
543,20140704,20141110,20161109,진&정,"서울특별시 관악구 난곡로63길 56, (신림동, 지상1층)",서울특별시 관악구 신림동  1484번지 3호  ,3200000-101-2005-00157,한식,평가점수미달,"청국장,보쌈정식",96.41,미성동,상수도전용
117,20010630,20010701,20021119,킹크랩대게한상,"서울특별시 관악구 남부순환로 1685, 1층 (봉천동)",서울특별시 관악구 봉천동  949번지 20호  지상1층,3200000-101-1992-00257,한식,영업자지위승계,고기부페,230.46,은천동,상수도전용
149,20011230,20011231,20050314,뽕잎사랑봉천점,"서울특별시 관악구 남부순환로 1726, 2층 (봉천동)",서울특별시 관악구 봉천동  930번지 1호  지상2층,3200000-101-2001-00093,한식,영업자지위승계,돼지갈비,121.22,청룡동,상수도전용
117,20050614,20050630,20060711,킹크랩대게한상,"서울특별시 관악구 남부순환로 1685, 1층 (봉천동)",서울특별시 관악구 봉천동  949번지 20호  지상1층,3200000-101-1992-00257,한식,,고기부페,230.46,은천동,상수도전용
472,20090313,20090501,20161215,옛날농장,"서울특별시 관악구 봉천로 262, 1층 (신림동)",서울특별시 관악구 신림동  1427번지 4호  지상1층,3200000-101-1979-07457,한식,위생등급 등외,돼지갈비,264.21,신림동,상수도전용
118,20010630,20010701,20070727,장추추어탕,"서울특별시 관악구 보라매로 15-2, 1층 (봉천동)",서울특별시 관악구 봉천동  735번지 5호  ,3200000-101-1996-06224,한식,기준미달,매운탕,87.77,보라매동,상수도전용
298,20050614,20050630,20070727,인쌩맥주 신림사거리점,"서울특별시 관악구 신림로65길 40, (신림동)",서울특별시 관악구 신림동  1434번지 8호  ,3200000-101-2003-00653,기타,무단확장,활어회,125.02,신림동,상수도전용
482,20090313,20090501,20151201,모르겐더캠퍼,"서울특별시 관악구 호암로26가길 18, 지상1층 (신림동)",서울특별시 관악구 신림동  1525번지 10호  ,3200000-101-2007-00384,한식,시설 등 인테리어 미비 및 주방위생상태불량,갈매기살,102,대학동,
277,20050614,20050630,20070727,노가의리,"서울특별시 관악구 남현1길 20, 1층 (남현동)",서울특별시 관악구 남현동  1064번지 3호  지상1층,3200000-101-1992-07341,한식,기준미달,갈비탕,96.6,남현동,상수도전용
52,20010630,20010701,20070727,덤뿔 서울대맛집,"서울특별시 관악구 관악로16길 16, 2층 (봉천동)",서울특별시 관악구 봉천동  854번지 1호  ,3200000-101-2000-10656,한식,무단확장,돼지갈비,100,낙성대동,
