asgn_sno,appl_ymd,asgn_ymd,asgn_cancel_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,asgn_cancel_why,main_edf,trdp_area,admdng_nm,grade_facil_gbn
3,20070608,20070628,20080709,주성문참치,"서울특별시 강서구 강서로5길 24, (화곡동)",서울특별시 강서구 화곡동  907번지 2호  ,3150000-101-1999-07722,일식,지정취소,참치회,58.45,화곡제1동,상수도전용
11,20040601,20040705,20040722,조코제주똥돼지,"서울특별시 강서구 방화대로47가길 7, 2층 205호 (방화동, 3동 샤르망)",서울특별시 강서구 방화동  830번지 3호  샤르망 (지상 2층)-205,3150000-101-2003-00287,한식,영업자지위승계,삼겹살,95.37,방화제3동,상수도전용
93,20020315,20020412,20050819,록갈비 까치산점,"서울특별시 강서구 강서로5나길 62, (화곡동)",서울특별시 강서구 화곡동  914번지 15호  ,3150000-101-2002-00166,회집,영업자지위승계,"찰떡갈비,냉면",86.1,화곡제1동,상수도전용
35,20040202,20080709,20080709,쭈퐁,"서울특별시 강서구 공항대로45길 44, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동  641번지 11호  (지상 1층),3150000-101-1989-06013,한식,지정취소,칼국수,98.7,등촌제1동,상수도전용
73,20020315,20020412,20141216,한국피자헛화곡점,"서울특별시 강서구 화곡로 270, 1층 (화곡동, 본동)",서울특별시 강서구 화곡동  24번지 346호  (지상 1층),3150000-101-1998-04348,한식,업종변경(배달전문음식점),냉면,110.46,화곡본동,상수도전용
71,20090805,20090805,20111031,등촌 누룽지 통닭구이,"서울특별시 강서구 공항대로59길 29, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동  646번지 32호  (지상 1층),3150000-101-1998-04318,통닭(치킨),기준미달,돼지갈비,35.2,등촌제1동,상수도전용
3,20131201,20131202,20211202,장수흑염소요리전문점,"서울특별시 강서구 공항대로65길 1-5, 2층 (염창동)",서울특별시 강서구 염창동  272번지 8호  (지상 2층),3150000-101-1991-06235,한식,,순대국,150.33,염창동,상수도전용
309,20040601,20040705,20070628,전라밥상,"서울특별시 강서구 초원로 60, 1층 (방화동)",서울특별시 강서구 방화동  598번지 36호  ,3150000-101-1991-05509,한식,명의변경,돼지갈비,60,방화제2동,상수도전용
90,20020315,20020412,20051209,참숯소야갈비,"서울특별시 강서구 강서로5나길 37, 1층 (화곡동, 1동 천일빌딩)",서울특별시 강서구 화곡동  906번지 22호  천일빌딩 (지상 1층),3150000-101-1997-04432,한식,영업자지위승계,장어구이,119.34,화곡제1동,상수도전용
252,20020315,20020412,20050419,도일처,"서울특별시 강서구 개화동로 567, 1~2층 (방화동)",서울특별시 강서구 방화동  621번지 19호  (지상 1~2층),3150000-101-1988-04144,중국식,영업자지위승계,누룽지해물탕,119,방화제2동,상수도전용
161,20020315,20020412,20161103,외갓집,"서울특별시 강서구 우장산로16길 44, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  997번지 9호  (지상 1층),3150000-101-1979-05418,한식,2016년 모범음식점 평가기준 미달,"소,등심",96.43,화곡제6동,상수도전용
304,20040601,20040705,20111031,본가백구 오리불고기,"서울특별시 강서구 강서로17길 40, (화곡동)",서울특별시 강서구 화곡동  353번지 90호  ,3150000-101-2001-09539,한식,기준미달,오리탕,76.5,화곡제1동,상수도전용
335,20080801,20080709,20080709,뭉텅(까치산점),"서울특별시 강서구 강서로5나길 16, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동  904번지 12호  (지상 1층),3150000-101-1994-05335,일식,지정취소,아구찜,76.59,화곡제1동,상수도전용
74,20090805,20090805,20161103,소담,"서울특별시 강서구 화곡로63길 121, 1층 (등촌동, 3동)",서울특별시 강서구 등촌동  663번지 27호  외 1필지 (지상 1층),3150000-101-2004-00280,한식,2016년 모범음식점 평가기준 미달,삼겹살,95.7,등촌제3동,상수도전용
56,20070608,20070628,20100803,신토불이,"서울특별시 강서구 화곡로21길 78, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동  1023번지 0호  (지상 1층),3150000-101-1999-07547,한식,기준미달,돼지왕갈비,65.7,화곡제3동,상수도전용
23,20050622,20050712,20051111,굴사냥,"서울특별시 강서구 화곡로 194-52, (화곡동)",서울특별시 강서구 화곡동  98번지 235호  ,3150000-101-1999-07480,한식,영업자지위승계,해장국,21.28,화곡본동,상수도전용
81,20020315,20020412,20031126,열린지혜의맛,"서울특별시 강서구 곰달래로 164, (화곡동,(지상 1층))",서울특별시 강서구 화곡동  877번지 15호  (지상 1층),3150000-101-2001-09338,한식,영업자지위승계,갈비,42.5,화곡제8동,
92,20020315,20020412,20031015,솔밭식당,"서울특별시 강서구 강서로5나길 12, (화곡동)",서울특별시 강서구 화곡동  904번지 11호  ,3150000-101-1990-08647,한식,영업자지위승계,"아구찜,게장",40.32,화곡제1동,상수도전용
132,20020315,20020412,20020628,신토불이,"서울특별시 강서구 화곡로21길 78, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동  1023번지 0호  (지상 1층),3150000-101-1999-07547,한식,명의변경,갈비,65.7,화곡제3동,상수도전용
201,20020315,20020412,20050809,조춘식 동태탕 찜 가양점,"서울특별시 강서구 양천로59길 24, 1층 (가양동, 3동)",서울특별시 강서구 가양동  450번지 1호  (지상 1층),3150000-101-1994-02513,한식,영업자지위승계,돼지갈비,141.32,가양제3동,상수도전용
242,20020315,20020412,20040213,설악추어탕,"서울특별시 강서구 금낭화로 105, 1층 (방화동, 1동)",서울특별시 강서구 방화동  453번지 44호  (지상 1층),3150000-101-1997-04420,한식,영업자지위승계,돼지갈비,198.36,방화제1동,상수도전용
244,20020315,20020412,20040420,천하,"서울특별시 강서구 방화동로12길 6, (방화동)",서울특별시 강서구 방화동  607번지 237호  ,3150000-101-1996-08377,한식,영업자지위승계,돼지갈비,80.91,방화제1동,상수도전용
9,20050622,20050712,20111031,국민전통갈비 미소그릴,"서울특별시 강서구 우장산로 119, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  1099번지 6호  (지상 1층),3150000-101-1998-04260,한식,기준미달,삼겹살,98.38,화곡제6동,상수도전용
17,20171124,20171124,20201228,용호동낙지 롯데몰김포공항점,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 스카이파크롯데몰김포공항점)",서울특별시 강서구 방화동  886번지 0호  스카이파크롯데몰김포공항점 (지하 2층),3150000-101-2017-00170,한식,폐업(지위승계),보쌈반상,125,방화제2동,상수도전용
83,20020315,20020412,20050816,무한삼겹시대 화곡점,"서울특별시 강서구 강서로5나길 84, 1~2층 (화곡동, 1동)",서울특별시 강서구 화곡동  913번지 10호  (지상 1~2층),3150000-101-1999-07353,한식,영업자지위승계,해물탕,137.77,화곡제1동,상수도전용
95,20020315,20020412,20080709,원조마산아구꽃게찜,"서울특별시 강서구 강서로17길 137, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동  358번지 3호  (지상 1층),3150000-101-1995-05040,한식,지정취소,돼지갈비,90.8,화곡제1동,상수도전용
22,20070608,20070628,20080709,엉터리생고기화곡점,"서울특별시 강서구 화곡로32길 14, 1층 (화곡동)",서울특별시 강서구 화곡동  98번지 209호  (지상 1층),3150000-101-1989-06002,한식,지정취소,모듬회,46.03,화곡본동,상수도전용
92,20090805,20090805,20131202,금별맥주 강서구청점,"서울특별시 강서구 공항대로46길 77, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  1119번지 10호  (지상 1층),3150000-101-2005-00285,한식,지정취소,닭갈비,163.9,화곡제6동,
28,20050622,20080709,20111031,원할머니보쌈,"서울특별시 강서구 강서로56길 50, (등촌동,외 1필지 주영빌딩 (지상 1층))",서울특별시 강서구 등촌동  671번지 3호  외 1필지 주영빌딩 (지상 1층),3150000-101-1999-07682,한식,기준미달,보쌈정식,91,등촌제3동,상수도전용
