asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
121,20020315,20020412,양촌리,"서울특별시 강서구 화곡로 109, 1~2층 (화곡동)",서울특별시 강서구 화곡동  1069번지 3호  ,3150000-101-1997-04510,한식,"돼지갈비, 삼겹살",456.71,화곡제3동,상수도전용,226988592
198,20020315,20031212,이조갈비,"서울특별시 강서구 양천로 353, 1층 (가양동, 1동)",서울특별시 강서구 가양동  138번지 9호  외 2필지 (지상 1층),3150000-101-1996-04864,한식,갈비탕,266.45,가양제1동,상수도전용,236613457
9,20181010,20181210,능라도,"서울특별시 강서구 마곡동로 56, 건와빌딩 2층 202,203호 (마곡동)","서울특별시 강서구 마곡동  797번지 6호  건와빌딩 (지상 2층)-202,203",3150000-101-2018-00236,한식,평양냉면,536,가양제1동,상수도전용,269588939
272,20040601,20040705,신고집해물찜,"서울특별시 강서구 강서로 188, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동  1052번지 0호  외 1필지 (지상 1층),3150000-101-2003-00593,한식,해물찜,158.54,우장산동,상수도전용,226683359
29,20131201,20131202,명동가츠라,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층),3150000-101-2011-00415,일식,우동,165.75,방화제2동,상수도전용,261165539
264,20020315,20020412,마산아구찜,"서울특별시 강서구 금낭화로 135, 3층 (방화동, 3동)",서울특별시 강서구 방화동  829번지 4호  (지상 3층),3150000-101-1997-04441,한식,대구탕,102.86,방화제3동,상수도전용,226651527
5,20100604,20100803,망향비빔국수,"서울특별시 강서구 양천로 720, 가동 1층 (염창동, 유동빌딩)",서울특별시 강서구 염창동  263번지 8호 가 유동빌딩 (지상 1층),3150000-101-2009-00199,한식,비빔국수,264,염창동,상수도전용,226596599
21,20151118,20151118,도쿄하나 등촌점,"서울특별시 강서구 공항대로 367, 백제원도쿄오백년장어 2층 (등촌동)",서울특별시 강서구 등촌동  661번지 12호  백제원도쿄오백년장어,3150000-101-2013-00240,일식,생선회,729.26,등촌제3동,상수도전용,226680880
24,20050622,20050712,발산삼계탕,"서울특별시 강서구 강서로 344, 1~2층 (내발산동)",서울특별시 강서구 내발산동  657번지 1호  ,3150000-101-2002-00417,한식,삼계탕,307.7,우장산동,,236623930
16,20151118,20151118,꽃향기,"서울특별시 강서구 화곡로 142, 3층 301호 (화곡동, 1동 메가박스)",서울특별시 강서구 화곡동  1073번지 10호  외 12필지 메가박스 (지상 3층)-301,3150000-101-2015-00110,한식,샤브샤브,483.11,화곡제1동,상수도전용,231440501
3,20241101,20241204,남다른감자탕(마곡점),"서울특별시 강서구 공항대로 228, 리더스타워마곡 1층 101~102호 (마곡동)",서울특별시 강서구 마곡동  800번지 5호  -101~102,3150000-101-2020-00777,한식,감자탕,107.1,발산제1동,상수도전용,226662001
4,20241101,20241204,KANS 칸스,"서울특별시 강서구 방화동로5길 12-1, 1층 (방화동)",서울특별시 강서구 방화동  612번지 95호  ,3150000-101-2023-00668,"외국음식전문점(인도,태국등)",칸스부리또,53.12,방화제2동,상수도전용,
