perm_nt_no,apv_perm_ymd,site_tel,rdn_whl_addr,,rdn_post_no,bplc_nm,update_dt,uptae_nm,trdp_jubnse_nm,x,y,longitude,latitude
3200000-101-1975-03457,1975-07-09,02 8834149,서울특별시 관악구 관악로28길 12 (봉천동),,8737,신풍식당,2018-08-31 23:59:59,분식,유흥업소밀집지역,196103.3143,442551.7859,126.9530331,37.48627987
3200000-101-1976-05552,1976-12-18,02 8787998,"서울특별시 관악구 남부순환로 1647, 1층 (신림동)",,8755,영빈관,2019-01-04 2:40:00,중국식,유흥업소밀집지역,194072.2982,442536.8853,126.932723,37.48614441
3200000-101-1977-05088,1977-08-03,02 889 4177,"서울특별시 관악구 신림로68길 8, 1층 (신림동)",,8754,명자호프포차,2022-11-10 2:40:00,경양식,기타,193720.3381,442693.0912,126.9292034,37.48756447
3200000-101-1977-07501,1977-08-23,,서울특별시 관악구 신림로 309 (신림동),,8776,낭풍,2018-09-13 23:59:59,한식,주택가주변,193706.646,442203.5106,126.9290665,37.48311373
3200000-101-1979-00193,1979-01-08,02 8783400,"서울특별시 관악구 봉천로 484, 2층 (봉천동)",,8738,완산정,2018-08-31 23:59:59,한식,유흥업소밀집지역,195825.9149,442164.4993,126.9502591,37.48275908
3200000-101-1979-04181,1979-08-30,,"서울특별시 관악구 봉천로12길 42, 1층 (신림동)",,8753,달맞이이모네,2018-12-06 2:40:00,한식,주택가주변,193717.8768,442733.5642,126.9291788,37.4879324
3200000-101-1979-05556,1979-05-15,02 8829765,"서울특별시 관악구 인헌길 23, 1층 (봉천동)",,8795,향도장,2019-06-27 2:40:00,중국식,주택가주변,197013.9125,441368.9551,126.9621391,37.47552686
3200000-101-1979-05595,1979-06-19,02 854 4373,"서울특별시 관악구 남부순환로141길 5, 1층 (신림동)",,8766,영신원,2018-08-31 23:59:59,중국식,주택가주변,191927.9991,442130.972,126.91128,37.48245429
3200000-101-1979-07457,1979-04-27,02 8732280,"서울특별시 관악구 봉천로 262, 1층 (신림동)",,8753,옛날농장,2018-08-31 23:59:59,한식,주택가주변,193749.521,442877.8016,126.9294952,37.48924365
3200000-101-1980-04892,1980-12-01,02  884 8806,서울특별시 관악구 신림로 91 (신림동),,8814,김가네,2018-08-31 23:59:59,분식,주택가주변,194544.6914,440901.9657,126.9374469,37.47128151
3200000-101-1980-05519,1980-08-18,02 8562492,서울특별시 관악구 남부순환로161길 30 (신림동),,8763,영화루,2024-12-29 2:40:00,중국식,주택가주변,192907.9984,442460.3582,126.92108,37.48544871
