perm_nt_no,apv_perm_ymd,site_tel,rdn_whl_addr,rdn_post_no,bplc_nm,update_dt,uptae_nm,trdp_jubnse_nm,x,y,longitude,latitude
3150000-101-1976-01512,1976-07-22,02 2608 8230,"서울특별시 강서구 화곡로 194-52, 1층 (화곡동, 본동)",7727,코비,2024-08-09 2:40:00,호프/통닭,주택가주변,186078.8482,448913.638,126.8437885,37.54466944
3150000-101-1976-04181,1976-08-09,02 2693 2103,"서울특별시 강서구 까치산로4길 60, 1층 (화곡동)",7730,중국관,2021-12-29 2:40:00,중국식,주택가주변,186310.2467,448694.5966,126.8461025,37.54267815
3150000-101-1976-04186,1976-01-23,02 2662 3171,"서울특별시 강서구 공항대로 15, 지하 1층 (공항동)",7619,공항뚝배기,2021-04-30 2:40:00,한식,기타,183064.578,451093.1614,126.8136458,37.56448329
3150000-101-1976-05633,1976-02-12,02 3662 3765,"서울특별시 강서구 공항대로65길 1-9, 1층 (염창동)",7561,토라야,2018-08-31 23:59:59,한식,기타,188191.0714,449815.0395,126.8649107,37.552864
3150000-101-1976-05729,1976-07-30,02 2605 5364,서울특별시 강서구 화곡로 194-48 (화곡동),7727,선영이네,2022-02-27 2:40:00,한식,주택가주변,186060.1788,448951.8867,126.8436018,37.54501715
3150000-101-1978-04256,1978-04-13,02 2695 3392,"서울특별시 강서구 강서로 55, 1층 (화곡동, 1동)",7773,돈오야,2018-08-31 23:59:59,한식,주택가주변,186307.2853,447832.9074,126.8460729,37.53484461
3150000-101-1978-08638,1978-11-13,02 2690 2782,서울특별시 강서구 강서로 17 (화곡동),7778,심원생고기,2021-12-30 2:40:00,한식,유흥업소밀집지역,186473.6121,447474.6321,126.8477361,37.53158756
3150000-101-1979-01535,1979-11-19,02 2654 5959,"서울특별시 강서구 등촌로 173, 1층 4호 (등촌동, 2동)",7668,59피자,2025-02-23 2:40:00,패스트푸드,기타,187741.8199,449247.6777,126.8604182,37.54770616
3150000-101-1979-05418,1979-05-14,02 2695 4685,"서울특별시 강서구 우장산로16길 44, 1층 (화곡동, 6동)",7686,외갓집,2021-05-16 2:40:00,한식,주택가주변,186548.1546,449934.6485,126.8484815,37.55395135
3150000-101-1979-08056,1979-06-18,02 2699 1183,"서울특별시 강서구 공항대로46길 100, 1층 (화곡동, 6동)",7658,엄지족,2022-06-30 2:40:00,호프/통닭,기타,186711.5327,449978.5634,126.8501153,37.55435058
3150000-101-1980-04175,1980-05-02,02 3661 9483,"서울특별시 강서구 양천로30길 32, 1층 (마곡동, 가양1동)",7593,대성각,2025-02-23 2:40:00,중국식,주택가주변,184258.2453,452190.9904,126.8255825,37.57446355
3150000-101-1980-05497,1980-04-08,0 2662 1919,"서울특별시 강서구 방화동로 1, 1층 (방화동, 2동)",7620,육대장(공항점),2022-04-09 2:40:00,호프/통닭,주택가주변,182959.9767,451108.843,126.8125998,37.56462585
3150000-101-1980-05853,1980-09-05,02 2605 6011,"서울특별시 강서구 까치산로 29, 1층 (화곡동, 본동 모현빌딩)",7727,피기피기,2021-12-29 2:40:00,한식,주택가주변,186101.2245,448926.9395,126.8440122,37.54479036
