rk,rest_name,rest_id,score,user_score,region,category
1,경원치킨,3200000-101-2011-00304,76,4.2,낙성대,치킨
2,두리닭발,3200000-101-2014-00473,77,4.8,사당역,한식
3,누누타코야끼,3200000-101-2023-00339,72,4.8,신림역,카페/디저트
4,곱창의전설,3200000-101-2012-00138,68,4,서울대입구역,한식
5,삼백돈 돈가츠,3200000-101-2017-00275,75,4.1,샤로수길,돈까스/회
6,보끔당,3200000-101-2014-00216,73,4.3,서울대입구점,한식
7,돈까스 튀기는 형,3200000-101-2023-00172,64,5,신림,돈까스/회
8,BBQ치킨,3200000-101-2003-00647,68,5,서울대,치킨
9,신전떡볶이,3200000-101-2005-00154,69,4.4,낙성대점,분식
10,분짜하노이,3200000-101-2008-00010,74,4.5,서울대입구,아시안
11,봉이돈까스,3200000-101-2005-00028,75,4.5,봉천역,돈까스/회
12,춘리마라탕,3200000-101-2022-00471,69,4.3,신림역점,중식
13,윤이불닭발,3200000-101-2024-00448,65,5,신림,한식
14,표표마라탕,3200000-101-2005-00343,69,4.2,봉천,중식
15,조이도시락,3200000-101-2020-00427,72,3.5,낙성대,도시락
16,어시장 활어회,3200000-101-2022-00325,66,5,본점,돈까스/회
17,고모네 정육식당,3200000-101-2024-00130,69,3.8,신림,고기
18,봉천동진순자김밥,3200000-101-1982-07028,73,3.9,봉천본점,도시락
19,클랩피자,3200000-101-2024-00540,72,4.8,샤로수길점,피자
20,스시마와리,3200000-101-2021-00683,64,5,신림,돈까스/회
21,안녕과자점,3200000-101-2017-00342,77,4.8,샤로수길,카페/디저트
22,낙원샌드위치,3200000-101-2023-00202,65,5,서울대입구,카페/디저트
23,남향티하우스,3200000-101-2023-00330,71,4.8,신림,아시안
24,홍반점,3200000-101-2004-00348,63,5,봉천동,중식
25,죠스떡볶이,3200000-101-2008-00080,66,5,신림,분식
26,레드신,3200000-101-2012-00075,67,4,낙성대역점,분식
27,김기철의장수왕만두찐빵,,66,4.5,신림역,한식
28,봉천동매운떡볶이,3200000-101-2023-00546,66,4.2,봉천본점,분식
29,밥구정로데오,3200000-101-2023-00668,62,5,봉천점,한식
30,빈이네양꼬치,3200000-101-2019-00212,67,5,낙성대,중식
31,카페 버터럼,3200000-101-2024-00175,72,4.9,서울대입구,카페/디저트
32,문성골족발집,3200000-101-2022-00478,71,4.7,신림,족발/보쌈
33,처갓집양념치킨,3200000-101-2004-00233,60,5,난곡점,치킨
34,상하이,3200000-101-2020-00203,62,5,대학동,중식
35,처갓집양념치킨,3200000-101-2013-00237,64,5,신림역점,치킨
36,양촌떡갈비,3200000-101-2022-00005,70,5,신림,한식
37,백채김치찌개,3200000-101-2018-00459,64,4.3,대학동점,한식
38,유천칡냉면,3200000-101-1996-02178,65,5,봉천,한식
39,깻잎두마리치킨,3200000-101-2021-00213,64,5,서울대점,치킨
40,요거트 아이스크림의 정석,3200000-101-2021-00036,63,4.2,신림점,카페/디저트
41,죠스떡볶이,3200000-101-2018-00402,64,5,보라매점,분식
42,찐수산,3200000-101-2020-00418,61,5,서울대입구,돈까스/회
43,노모어피자,3200000-101-2023-00107,61,5,신림점,피자
44,지코바치킨,3200000-101-2017-00065,61,5,봉천2호점,치킨
45,중화요리 팔공,3200000-101-2009-00149,82,4.6,신림,중식
46,버거리,3200000-101-2023-00532,77,4.7,낙성대점,패스트푸드
47,뱃살도둑,3200000-101-2018-00031,67,4.4,관악본점,샐러드
48,신전떡볶이,3200000-101-2020-00521,60,4,신림,분식
49,미트온라인축산직판,3200000-101-2020-00670,61,5,사당동,고기
50,순살만공격,3200000-101-2024-00204,61,4,관악센터점,치킨
51,막창굽는연탄할매,3200000-101-2024-00385,60,4.7,신림점,한식
52,라티놀,3200000-101-2001-06864,63,3.8,서울대입구점,분식
53,815광복점,3200000-101-2015-00075,68,5,2호점,고기
54,스시모모타로,3200000-101-2022-00037,60,5,신림,돈까스/회
55,땡스어라떼,,59,4.1,신림,카페/디저트
56,홍콩반점0410,3200000-101-2022-00519,65,5,봉천현대시장점,중식
57,아미르케밥,,63,5,신림,양식
58,동대문 엽기떡볶이,3200000-101-2002-00587,62,3.8,서울대입구,분식
59,타코방,3200000-101-2021-00020,62,5,관악점,카페/디저트
60,도스 타코스,3200000-101-2022-00063,75,4.2,서울대입구역점,양식
61,츄러스1500,,63,5,봉천점,카페/디저트
62,봉추찜닭,3200000-101-2012-00367,62,4,신림,한식
63,후라이드의 품격,3200000-101-2006-00038,63,4.6,신림점,치킨
64,푸라닭,3200000-101-2020-00273,60,4,청룡점,치킨
65,설빙,,70,4.3,사당역,카페/디저트
66,반점,3200000-101-2020-00371,62,4.5,난곡,중식
67,오봉집,3200000-101-2011-00275,78,5,서울대입구역점,한식
68,BHC치킨,3200000-101-2016-00212,62,3.9,서울대점,치킨
69,수현이네통닭,3200000-101-2019-00172,66,4.4,신림,치킨
70,미스사이공,3200000-101-2016-00332,65,4.3,봉천점,아시안
71,피자나라치킨공주,3200000-101-2015-00345,59,5,봉천,피자
72,맛있구마 피자,3200000-101-2021-00579,70,4,봉천동,피자
73,타이패밀리,3200000-101-2019-00170,75,4.2,서울대입구,아시안
74,꾸브라꼬 숯불두마리치킨,3200000-101-2022-00224,60,5,신림점,치킨
75,떡의작품 가래떡볶이,3200000-101-2023-00635,62,5,봉천점,분식
76,샐러디,,63,4.2,낙성대점,샐러드
77,치즈당,3200000-101-2025-00046,68,5,낙성대역점,카페/디저트
78,수상한닭발,3200000-101-2006-00199,68,5,서울대입구,한식
79,60계 치킨,3200000-101-2014-00136,61,5,봉천점,치킨
80,이레김밥,3200000-101-2000-10469,68,4.3,봉천1호점,도시락
81,두리쪽갈비앤닭발,3200000-101-1994-07571,67,5,신림,한식
