rk,rest_name,rest_id,score,user_score,region,category
1,영양족발,3150000-101-2002-00351,87,4.7,화곡,족발/보쌈
2,빽보이피자,3150000-101-2022-00244,72,5,까치산역점,피자
3,도라무통즉석떡볶이,3150000-101-2005-00198,74,4.2,까치산역,분식
4,교촌치킨,3150000-101-2021-00595,68,5,화곡본동점,치킨
5,오토김밥,3150000-101-2022-00217,74,4.8,마곡점,분식
6,BHC치킨,3150000-101-1996-04678,72,4.6,강서구청,치킨
7,온통족발,3150000-101-2003-00653,68,4.8,화곡동,족발/보쌈
8,교촌치킨,3150000-101-2016-00066,70,4.4,까치산역,치킨
9,푸라닭,3150000-101-2024-00620,71,4.6,등촌역,치킨
10,웅이네오돌뼈닭발도,3150000-101-2021-00129,65,5,마곡동점,한식
11,스시앤,3150000-101-2019-00591,66,5,화곡,돈까스/회
12,고기가땡겨,3150000-101-1997-02028,67,5,화곡동,고기
13,패밀리만두,3150000-101-2012-00158,70,5,염창본점,한식
14,죠스떡볶이,3150000-101-2004-00387,70,4.5,화곡역,분식
15,BHC치킨,3150000-101-2013-00385,67,4.6,화곡역,치킨
16,육회랑연어먹은날,,68,4.4,까치산,돈까스/회
17,호식이두마리치킨,3150000-101-2009-00253,66,5,화곡1호점,치킨
18,맘스터치,3150000-101-2018-00447,68,4.6,화곡,패스트푸드
19,태화루,3150000-101-2005-00436,67,5,방화동,중식
20,유림 닭도리탕,3150000-101-2003-00016,83,4,염창역,한식
21,크로플로,,67,5,화곡점,카페/디저트
22,등촌샤브칼국수,3150000-101-2002-00786,80,4.3,등촌점,한식
23,BHC치킨,,64,5,가양역점,치킨
24,호시타코야끼,3150000-101-2022-00003,67,4.9,방화점,카페/디저트
25,서오릉피자,3150000-101-2021-00412,68,4.6,발산점,피자
26,샐러드서울,,69,4.2,화곡점,샐러드
27,푸라닭,3150000-101-2020-00132,69,5,신방화역점,치킨
28,요거트 아이스크림의 정석,3150000-101-2024-00326,66,4.8,화곡점,카페/디저트
29,파사데나,,68,5,마곡,피자
30,자담치킨,3150000-101-2017-00458,66,5,서울강서구청점,치킨
31,화통쭈꾸미,3150000-101-2017-00632,63,4.8,화곡동,한식
32,목동찹쌀꽈배기,3150000-101-2024-00509,72,5,까치산역,카페/디저트
33,미담분식,3150000-101-2000-09119,70,3.7,화곡,분식
34,대성각,3150000-101-1980-04175,70,4.9,마곡,중식
35,홍미닭발,3150000-101-2000-08947,68,4.4,본점,한식
36,만년닭강정,3150000-101-2020-00129,61,3.6,화곡점,치킨
37,만배아리랑,3150000-101-2020-00254,75,4.3,등촌점,족발/보쌈
38,두찜,3150000-101-2019-00133,64,5,신방화점,한식
39,교촌치킨,3150000-101-2019-00641,64,4.6,강서구청점,치킨
