region,age_group,y2019,y2020,y2021,y2022,y2023
서울특별시,20~24,116592,123990,126833,129586,132540
서울특별시,25~29,216707,238517,263071,275723,283426
서울특별시,30~34,166340,183573,204717,224798,240530
서울특별시,35~39,121980,126485,131942,133594,136268
종로구,20~24,3280,3331,3211,3318,3470
종로구,25~29,3903,4111,4588,4913,4920
종로구,30~34,2647,2923,3205,3366,3605
종로구,35~39,1872,1981,2015,2081,2086
중구,20~24,2251,2250,2232,1931,2651
중구,25~29,3054,3232,3792,3782,4156
중구,30~34,2561,2698,3081,3555,4094
중구,35~39,1920,1975,2187,2138,2361
용산구,20~24,2636,2663,2620,2641,2803
용산구,25~29,5349,5646,6396,6627,6502
용산구,30~34,4985,5550,6225,7040,7385
용산구,35~39,3959,4110,4436,4576,4543
성동구,20~24,4709,4850,4719,5046,5223
성동구,25~29,6878,7052,7909,8071,8440
성동구,30~34,4907,5008,5542,5964,6457
성동구,35~39,3655,3709,3828,3702,3786
광진구,20~24,6710,7283,7334,7516,7959
광진구,25~29,11939,13249,14420,14986,15408
광진구,30~34,8398,8991,9932,11085,11894
광진구,35~39,5649,5692,5870,6030,6138
동대문구,20~24,10659,10567,11264,11456,11882
동대문구,25~29,9771,10639,12124,12564,13118
동대문구,30~34,5351,6001,6772,7476,7968
동대문구,35~39,3895,4058,4190,4360,4413
중랑구,20~24,2044,2361,2565,2886,2949
중랑구,25~29,5604,6577,7240,7977,8221
중랑구,30~34,5126,5840,6465,7353,7837
중랑구,35~39,4408,4551,4753,4840,4814
성북구,20~24,10608,11271,11312,11336,11810
성북구,25~29,9391,9696,10754,10797,10815
성북구,30~34,5161,5663,6373,6777,7044
성북구,35~39,3810,3971,4307,4223,4311
강북구,20~24,2816,3037,3151,3514,3699
강북구,25~29,4321,4894,5326,5670,5794
강북구,30~34,3369,3695,4084,4467,4658
강북구,35~39,3028,3016,3099,3164,3099
도봉구,20~24,1509,1612,1671,1636,1619
도봉구,25~29,2452,2816,3288,3452,3458
도봉구,30~34,2299,2536,3056,3431,3713
도봉구,35~39,2371,2427,2547,2557,2582
노원구,20~24,5509,5554,5683,5846,6036
노원구,25~29,4848,5204,5680,5659,5739
노원구,30~34,3449,3900,4716,5066,5177
노원구,35~39,3391,3530,3803,3745,3721
은평구,20~24,2539,2967,3117,3179,3214
은평구,25~29,6610,7707,8772,9245,9617
은평구,30~34,5708,6490,7300,8161,8852
은평구,35~39,4901,5182,5363,5273,5450
서대문구,20~24,8292,8945,8953,8651,9158
서대문구,25~29,8485,8982,9992,10155,10344
서대문구,30~34,4713,5420,5910,6389,6825
서대문구,35~39,3337,3587,3773,3814,3900
마포구,20~24,6608,6993,7144,7224,7316
마포구,25~29,12239,13204,14365,14806,14809
마포구,30~34,9331,10088,11063,11922,12645
마포구,35~39,6562,6872,7085,7179,7247
양천구,20~24,1182,1250,1399,1435,1328
양천구,25~29,3314,4031,4537,4819,4800
양천구,30~34,3489,3987,4725,5233,5396
양천구,35~39,3174,3344,3528,3591,3588
강서구,20~24,4108,4442,4754,4867,4736
강서구,25~29,13600,15643,17660,18823,18744
강서구,30~34,11648,13177,15371,17283,18347
강서구,35~39,8271,8898,9413,9817,10012
구로구,20~24,2609,2675,2874,3107,3046
구로구,25~29,7184,7671,8488,9425,9614
구로구,30~34,5957,6607,7517,8557,9076
구로구,35~39,4424,4631,4837,5001,5175
금천구,20~24,1881,2288,2512,2651,2489
금천구,25~29,6120,7518,8913,9872,10154
금천구,30~34,4790,5718,6729,7843,8573
금천구,35~39,3370,3615,3975,4226,4271
영등포구,20~24,3277,3622,3933,4330,4239
영등포구,25~29,11754,13418,14988,15798,16830
영등포구,30~34,9638,11074,12489,13937,15116
영등포구,35~39,5907,6350,7036,7277,7597
동작구,20~24,7837,8592,8871,9208,9521
동작구,25~29,13256,14153,15186,16126,16777
동작구,30~34,8329,9131,10241,10946,11533
동작구,35~39,5228,5246,5462,5630,5867
관악구,20~24,14851,15893,15635,16553,16292
관악구,25~29,33127,36331,38989,41927,42852
관악구,30~34,19915,21802,23541,26092,28129
관악구,35~39,10984,11342,11571,11867,12194
서초구,20~24,2550,2884,2678,2287,2370
서초구,25~29,6448,6560,6870,6924,7255
서초구,30~34,6800,7187,7735,7985,8339
서초구,35~39,5479,5366,5463,5412,5612
강남구,20~24,3362,3590,3559,3521,3329
강남구,25~29,10619,11221,11227,11277,11875
강남구,30~34,11474,12034,12407,12660,13605
강남구,35~39,9386,9433,9231,9044,9086
송파구,20~24,2906,3099,3250,3081,3122
송파구,25~29,10754,11972,13028,13102,13816
송파구,30~34,11025,11929,13086,14249,15541
송파구,35~39,8596,8942,9127,9143,9400
강동구,20~24,1859,1971,2392,2366,2279
강동구,25~29,5687,6990,8539,8926,9368
강동구,30~34,5270,6124,7152,7961,8721
강동구,35~39,4403,4657,5043,4904,5015
